decile,tax_offset
1,-5.893954411974156
2,-40.93565437102648
3,-65.60975888111837
4,-71.36668558230573
5,-20.65046130617219
6,-22.580372856478483
7,-59.72077149101842
8,-84.44106469360969
9,-128.83103494979594
10,-282.55459907354214
