decile,obbba.pct_chg,obbba.avg_chg,obbba.social_insurance,obbba.means_tested,obbba.atti
1,-0.039,-1559,8463,9889,39464
2,-0.012,-749,12140,11839,62920
3,-0.004,-312,15855,12686,76475
4,0.001,61,19164,12633,89615
5,0.005,514,22223,11710,105066
6,0.008,984,24504,9717,121456
7,0.011,1502,25088,7781,143117
8,0.013,2144,25195,6144,171054
9,0.015,3275,25961,4232,217451
10,0.023,12044,23975,2171,517103
